task_id,project_id,milestone_id,task_name,description,assigned_to,start_date,end_date,status,priority,estimated_hours
TSK-PRJ-011-001,PRJ-011,d173b70b,Truth although population attorney believe sort,Ever send hundred news finish.,EMP-0224,2026-02-04,2026-02-07,Blocked,High,4
TSK-PRJ-011-002,PRJ-011,bc54b8c1,Answer action black follow,Difficult because right speech staff Mr.,EMP-0049,2024-04-16,2024-04-21,Completed,Medium,80
TSK-PRJ-011-003,PRJ-011,521be8c2,Water avoid forget,Focus room difficult enough fast.,EMP-0026,2025-01-30,2025-02-20,Completed,High,16
TSK-PRJ-011-004,PRJ-011,521be8c2,Will art actually,Life his maintain future sport.,EMP-0240,2025-03-02,2025-03-17,Completed,High,80
TSK-PRJ-011-005,PRJ-011,521be8c2,History laugh per data hundred,Everyone clearly film thank.,EMP-0004,2025-02-16,2025-03-30,Completed,Medium,40
TSK-PRJ-011-006,PRJ-011,2286e3f8,Agreement product laugh enter,Base issue character maybe meet apply evening.,EMP-0138,2024-01-27,2024-02-14,Completed,High,4
TSK-PRJ-011-007,PRJ-011,5fb2b838,Order morning management item,Position where detail. Time offer draw.,EMP-0209,2026-05-23,2026-08-09,Review,High,80
TSK-PRJ-011-008,PRJ-011,ec94503e,Day size girl explain others safe,Continue traditional performance school.,EMP-0051,2025-01-06,2025-01-12,Completed,High,4
TSK-PRJ-011-009,PRJ-011,2286e3f8,Into again window thing color set,Order wide on.,EMP-0171,2023-11-01,2024-03-09,Completed,Medium,40
TSK-PRJ-011-010,PRJ-011,521be8c2,Simple beyond sound,Laugh same wrong either main hair.,EMP-0074,2025-04-29,2025-05-15,Completed,Low,8
TSK-PRJ-011-011,PRJ-011,da4ec04c,Establish mind policy,Without task process center.,EMP-0174,2026-12-23,2027-02-08,In Progress,Low,8
TSK-PRJ-011-012,PRJ-011,9dc0a8b5,Whole theory quickly,Would then company travel give former operation.,EMP-0114,2025-09-02,2025-11-03,Completed,Medium,16
TSK-PRJ-011-013,PRJ-011,ec94503e,Why society eye wide material rate,Race model face newspaper class main ask.,EMP-0052,2024-11-17,2024-12-31,Completed,Medium,40
TSK-PRJ-011-014,PRJ-011,d173b70b,Good street anyone case these,Truth fact allow usually eat question hit human.,EMP-0081,2026-01-16,2026-01-16,Completed,High,4
TSK-PRJ-011-015,PRJ-011,2286e3f8,Source cause should economic indicate,Feeling beat note pick national.,EMP-0021,2024-01-22,2024-03-27,Completed,High,8
TSK-PRJ-011-016,PRJ-011,bc54b8c1,Government level which leave tree,Whatever inside sense.,EMP-0066,2024-08-08,2024-08-16,Completed,High,80
TSK-PRJ-011-017,PRJ-011,5fb2b838,Prove leg several military stuff,Area stop practice four. State not real ten.,EMP-0217,2026-07-02,2026-07-14,Review,Medium,40
TSK-PRJ-011-018,PRJ-011,5fb2b838,No whose carry,Feeling financial writer according.,EMP-0228,2026-05-26,2026-09-03,Not Started,Medium,16
TSK-PRJ-011-019,PRJ-011,ec94503e,Strategy kitchen argue,Feel low contain dog.,EMP-0141,2024-09-14,2024-12-14,Completed,High,24
TSK-PRJ-011-020,PRJ-011,ec94503e,Memory record customer lose,Property where manage property hospital.,EMP-0116,2024-09-21,2024-11-06,Completed,Low,40
TSK-PRJ-011-021,PRJ-011,9dc0a8b5,Action few population throw people,Traditional great cause.,EMP-0079,2025-07-14,2025-10-31,Completed,Medium,80
TSK-PRJ-011-022,PRJ-011,ec94503e,Company charge pretty,Heavy line probably office until simple moment.,EMP-0137,2024-11-08,2024-12-27,Completed,Low,4
TSK-PRJ-011-023,PRJ-011,521be8c2,Ahead run discuss,Material quickly food discuss.,EMP-0216,2025-04-10,2025-04-16,Completed,Low,16
TSK-PRJ-011-024,PRJ-011,521be8c2,Economy also seek kid hear piece,Type fly recognize.,EMP-0202,2025-02-03,2025-02-15,Completed,Medium,8
TSK-PRJ-011-025,PRJ-011,bc54b8c1,Its more so beat,Pick protect data. Throw growth impact national.,EMP-0243,2024-05-10,2024-06-18,Completed,Medium,40
TSK-PRJ-011-026,PRJ-011,2286e3f8,Strategy now list goal,Fear brother discover own former difference wait.,EMP-0215,2024-02-09,2024-03-04,Completed,Low,8
TSK-PRJ-012-001,PRJ-012,2b9a118e,Table use matter human,National through old view.,EMP-0177,2027-08-29,2027-09-25,In Progress,High,8
TSK-PRJ-012-002,PRJ-012,2b9a118e,Natural safe under professional,Dog authority way toward.,EMP-0126,2027-05-29,2027-06-25,Review,Medium,8
TSK-PRJ-012-003,PRJ-012,0df63417,Long can rich bit market different,It field sure will again area.,EMP-0001,2025-01-20,2025-01-21,Completed,High,8
TSK-PRJ-012-004,PRJ-012,242f5829,Receive involve interview case just,Nothing yard address rest spend baby camera.,EMP-0134,2026-04-09,2026-06-23,Review,Medium,4
TSK-PRJ-012-005,PRJ-012,a9dcfe52,Huge price prevent baby voice day,Today teach kitchen few happen necessary.,EMP-0075,2027-02-25,2027-03-09,Not Started,Medium,80
TSK-PRJ-012-006,PRJ-012,a9dcfe52,Bad treatment success minute,Score decision head staff center.,EMP-0125,2027-03-20,2027-05-06,In Progress,Medium,16
TSK-PRJ-012-007,PRJ-012,7ba79d05,Open feel whole arrive,All several visit travel senior.,EMP-0081,2025-11-18,2026-01-09,Completed,Low,80
TSK-PRJ-012-008,PRJ-012,242f5829,Site up sell southern network,Teach visit less occur nothing.,EMP-0077,2026-07-28,2026-08-07,In Progress,Medium,8
TSK-PRJ-012-009,PRJ-012,3581a632,Beat economic myself front,Buy nothing fly.,EMP-0181,2025-11-06,2025-11-11,Completed,Low,16
TSK-PRJ-012-010,PRJ-012,242f5829,Design around voice everybody particular finish,Key election skill employee.,EMP-0221,2026-06-07,2026-07-23,Not Started,Medium,16
TSK-PRJ-012-011,PRJ-012,7ba79d05,Oil among response article research,Window administration suddenly support music.,EMP-0003,2026-03-24,2026-03-27,Blocked,Medium,40
TSK-PRJ-012-012,PRJ-012,0df63417,Back daughter now stop race author,Then central force small friend impact.,EMP-0234,2024-12-19,2024-12-29,Completed,Low,4
TSK-PRJ-012-013,PRJ-012,3581a632,Participant space member,Situation require vote her old price change.,EMP-0184,2025-10-19,2025-10-19,Completed,High,8
TSK-PRJ-012-014,PRJ-012,03840661,Much building these sometimes parent,Minute first crime offer treat forget sometimes.,EMP-0022,2025-05-31,2025-06-26,Completed,Low,4
TSK-PRJ-012-015,PRJ-012,0df63417,Goal measure trip,Painting large industry notice step by Mrs.,EMP-0210,2024-12-12,2025-01-16,Completed,Low,24
TSK-PRJ-012-016,PRJ-012,0df63417,Work office plan significant tonight then,Coach industry she.,EMP-0089,2024-12-12,2025-01-21,Completed,Medium,16
TSK-PRJ-012-017,PRJ-012,04b51c12,Great I news Republican budget,Option pattern yes and school great.,EMP-0205,2026-11-25,2026-12-13,Not Started,High,80
TSK-PRJ-012-018,PRJ-012,04b51c12,Base time order have power here,Nor today oil.,EMP-0149,2026-12-07,2026-12-29,Review,Low,40
TSK-PRJ-012-019,PRJ-012,03840661,Everything they fire girl close explain,Keep those eye truth writer send under.,EMP-0023,2025-03-21,2025-06-12,Completed,High,16
TSK-PRJ-012-020,PRJ-012,0df63417,Sometimes according strategy ago data walk,Interview know call law truth respond try.,EMP-0148,2024-10-01,2025-01-13,Completed,Low,8
TSK-PRJ-012-021,PRJ-012,04b51c12,Why sound season,Road force medical everybody piece.,EMP-0147,2026-10-08,2026-12-18,Not Started,Medium,40
TSK-PRJ-012-022,PRJ-012,242f5829,Success produce there along,Account carry heavy wall pull enter charge sport.,EMP-0089,2026-07-09,2026-07-24,Review,Low,80
TSK-PRJ-012-023,PRJ-012,03840661,Particularly report although read party piece,Point machine prevent conference feel.,EMP-0144,2025-02-22,2025-05-28,Completed,High,24
TSK-PRJ-012-024,PRJ-012,04b51c12,Benefit both thing sense,Information language easy interesting computer.,EMP-0106,2026-11-28,2026-12-21,Blocked,Low,8
TSK-PRJ-013-001,PRJ-013,2fb90ccf,Reach ahead environmental Democrat surface,Article sign energy fish hot kind.,EMP-0233,2025-04-07,2025-04-21,Completed,Medium,40
TSK-PRJ-013-002,PRJ-013,80520405,Occur coach deal personal,Short need pressure million gun cup.,EMP-0245,2025-10-09,2025-10-18,Completed,Low,8
TSK-PRJ-013-003,PRJ-013,58c69158,Former democratic safe vote already,Sense money may.,EMP-0090,2025-07-10,2025-08-23,Completed,Medium,80
TSK-PRJ-013-004,PRJ-013,fa033d6c,Stand theory technology,Available reveal several indeed. Sea must try.,EMP-0044,2025-01-23,2025-02-11,Completed,Medium,16
TSK-PRJ-013-005,PRJ-013,58c69158,Mention age ever dark enough,Likely fact behavior whom night low traditional.,EMP-0226,2025-07-25,2025-08-09,Completed,Medium,8
TSK-PRJ-013-006,PRJ-013,637e3f94,Window however discussion have none poor,Century picture base night debate walk.,EMP-0242,2024-09-26,2024-10-01,Completed,Medium,24
TSK-PRJ-013-007,PRJ-013,637e3f94,Scientist strong already ready,Image accept real sense some nation fine present.,EMP-0227,2024-09-07,2024-09-26,Completed,High,80
TSK-PRJ-013-008,PRJ-013,58c69158,Heart series class,Coach join will although.,EMP-0019,2025-08-05,2025-08-21,Completed,High,80
TSK-PRJ-013-009,PRJ-013,fa033d6c,Itself family two,Mission past he practice center.,EMP-0088,2024-12-18,2025-01-15,Completed,Low,8
TSK-PRJ-013-010,PRJ-013,637e3f94,Modern stop act indicate,Like year accept reduce.,EMP-0172,2024-09-15,2024-09-21,Completed,High,8
TSK-PRJ-013-011,PRJ-013,58c69158,Player third general add cover,Star test once figure person.,EMP-0142,2025-07-10,2025-07-13,Completed,High,16
TSK-PRJ-013-012,PRJ-013,2fb90ccf,Enjoy bill someone onto,Form sign option everyone southern the.,EMP-0077,2025-03-12,2025-03-25,Completed,High,40
TSK-PRJ-013-013,PRJ-013,2fb90ccf,Back wide case southern international,Force matter bring nice help history listen.,EMP-0189,2025-04-06,2025-04-06,Completed,High,24
TSK-PRJ-013-014,PRJ-013,2fb90ccf,Represent style night majority,Rate newspaper itself give agent.,EMP-0020,2025-03-07,2025-04-21,Completed,Low,8
TSK-PRJ-013-015,PRJ-013,ca0841de,Condition section action kind moment,Only foreign treat.,EMP-0026,2024-06-30,2024-07-18,Completed,High,16
TSK-PRJ-013-016,PRJ-013,637e3f94,Ever arm occur air,Young place make list themselves seek space.,EMP-0204,2024-09-21,2024-09-23,Completed,High,8
TSK-PRJ-013-017,PRJ-013,04e25132,Bar street budget,Pm artist best name work create.,EMP-0110,2024-11-02,2024-12-14,Completed,Low,40
TSK-PRJ-013-018,PRJ-013,2fb90ccf,Wait idea study,Assume stay may rock. Common and part read.,EMP-0031,2025-03-26,2025-04-20,Completed,Low,16
TSK-PRJ-013-019,PRJ-013,3f551740,Structure beat us because truth consumer,Control option whole short. Design hear ball.,EMP-0047,2025-05-26,2025-06-17,Completed,Medium,80
TSK-PRJ-013-020,PRJ-013,637e3f94,Here expert everything,Firm difficult could third computer far recently.,EMP-0119,2024-08-26,2024-09-25,Completed,Medium,4
TSK-PRJ-013-021,PRJ-013,80520405,Wear one choose,Military piece little level.,EMP-0245,2025-10-27,2025-10-27,Completed,Low,24
TSK-PRJ-013-022,PRJ-013,fa033d6c,Little from total cost group,Level control against speak.,EMP-0230,2024-12-18,2025-01-02,Completed,High,4
TSK-PRJ-013-023,PRJ-013,04e25132,Feel wife theory shake too,Though whole wall cup win.,EMP-0013,2024-12-01,2024-12-17,Completed,Medium,24
TSK-PRJ-013-024,PRJ-013,80520405,Learn close a challenge third,Film continue tax job right.,EMP-0129,2025-09-26,2025-10-02,Completed,Low,8
TSK-PRJ-013-025,PRJ-013,fa033d6c,Near hour defense line heavy less,Several benefit campaign several card.,EMP-0104,2025-01-20,2025-01-24,Completed,High,8
TSK-PRJ-013-026,PRJ-013,3f551740,Develop part should,Gun may ability out huge back.,EMP-0151,2025-06-09,2025-06-23,Completed,Medium,24
TSK-PRJ-013-027,PRJ-013,3f551740,Expect hit start,End western conference.,EMP-0022,2025-05-10,2025-05-30,Completed,Low,24
TSK-PRJ-013-028,PRJ-013,04e25132,Claim can medical,Page sort late health.,EMP-0125,2024-11-24,2024-12-13,Completed,Medium,4
TSK-PRJ-013-029,PRJ-013,3f551740,Front various opportunity,Method pass the itself let.,EMP-0196,2025-04-30,2025-05-14,Completed,Low,40
TSK-PRJ-014-001,PRJ-014,f8751fd4,International push short age,Condition ground adult foot player.,EMP-0105,2027-01-31,2027-03-07,In Progress,Medium,40
TSK-PRJ-014-002,PRJ-014,34ee0b67,Generation leader pay try,High woman bad until.,EMP-0149,2027-12-20,2028-01-30,In Progress,Low,24
TSK-PRJ-014-003,PRJ-014,a82cae18,Soldier number yet,Method take during sometimes hear list set join.,EMP-0189,2025-05-24,2025-08-16,Completed,Low,8
TSK-PRJ-014-004,PRJ-014,34ee0b67,Above debate site price,Environment out wish fish determine.,EMP-0213,2028-01-25,2028-02-07,Not Started,Low,16
TSK-PRJ-014-005,PRJ-014,d09a934b,Onto play forget home upon,Gas floor state. Left sea decision recently.,EMP-0190,2025-04-08,2025-05-07,Completed,Medium,16
TSK-PRJ-014-006,PRJ-014,a82cae18,Security morning fight seem,Purpose ahead person coach goal it yet.,EMP-0161,2025-07-15,2025-07-31,Completed,Low,4
TSK-PRJ-014-007,PRJ-014,544c0132,Capital parent sure best design yeah,Eye ten short worker without nearly goal.,EMP-0068,2027-05-12,2027-07-23,Review,Low,4
TSK-PRJ-014-008,PRJ-014,8a962a11,Maybe mouth different identify series,Step last under concern eye.,EMP-0030,2028-07-17,2028-08-16,Review,High,4
TSK-PRJ-014-009,PRJ-014,544c0132,Player peace catch people,Outside rule watch foot.,EMP-0019,2027-06-17,2027-07-26,Review,Low,8
TSK-PRJ-014-010,PRJ-014,a82cae18,Memory cover tree leader rich dream,View TV follow fall thus debate leave.,EMP-0178,2025-09-02,2025-10-09,Completed,High,16
TSK-PRJ-014-011,PRJ-014,f8751fd4,Study the training each reveal attorney,Radio image mind.,EMP-0149,2027-02-08,2027-02-13,Blocked,High,40
TSK-PRJ-014-012,PRJ-014,3d884938,Just still art,Stock rise always human until picture.,EMP-0240,2026-08-21,2026-09-15,Blocked,High,8
TSK-PRJ-014-013,PRJ-014,a82cae18,Hand prevent center during,Decide best politics available tonight man each.,EMP-0047,2025-05-30,2025-10-17,Completed,Medium,40
TSK-PRJ-014-014,PRJ-014,34ee0b67,Seven challenge eye,They nor research fill respond.,EMP-0108,2027-11-08,2028-03-02,Blocked,High,24
TSK-PRJ-015-001,PRJ-015,dcd28b97,Pm agreement deep field,Activity hair meet thank might local tonight win.,EMP-0020,2025-02-07,2025-03-16,Completed,High,4
TSK-PRJ-015-002,PRJ-015,69fe890f,That lot low here,Garden finally difference everything.,EMP-0102,2026-08-24,2026-08-31,Blocked,Medium,40
TSK-PRJ-015-003,PRJ-015,69fe890f,Scientist hair allow phone,Medical even which suggest Mrs bag.,EMP-0181,2026-05-24,2026-09-02,Review,Low,4
TSK-PRJ-015-004,PRJ-015,7168bdec,Direction response concern without,Necessary before couple store as.,EMP-0237,2026-10-09,2026-12-14,Not Started,Low,8
TSK-PRJ-015-005,PRJ-015,c3f38c8c,Mr sit five,Cultural bring bar culture.,EMP-0008,2026-05-09,2026-05-20,In Progress,High,40
TSK-PRJ-015-006,PRJ-015,dcd28b97,Open play sense yeah,Senior over manage computer medical.,EMP-0015,2025-03-08,2025-03-26,Completed,Low,24
TSK-PRJ-015-007,PRJ-015,c3f38c8c,Maintain five window like,Condition set pull behind.,EMP-0206,2026-05-02,2026-05-04,In Progress,High,24
TSK-PRJ-015-008,PRJ-015,e12ff6cd,Floor most bill feel,What wonder president small sister especially.,EMP-0183,2025-12-22,2026-01-15,Completed,Medium,4
TSK-PRJ-015-009,PRJ-015,dcd28b97,Last interesting hour individual several,Area impact position cause lead ever.,EMP-0165,2025-02-19,2025-03-27,Completed,Low,16
TSK-PRJ-015-010,PRJ-015,c3f38c8c,Nice current Democrat me task blood,Civil reveal walk or weight. Sit hope where.,EMP-0059,2026-04-21,2026-05-06,Review,Medium,40
TSK-PRJ-015-011,PRJ-015,51476e86,Line thing available,Station them operation off no just.,EMP-0244,2025-10-04,2025-10-10,Completed,Low,80
TSK-PRJ-015-012,PRJ-015,e4e5b5b0,Whatever guess significant section Democrat,Life leave four question region effort.,EMP-0037,2026-12-31,2027-03-25,Not Started,Low,80
TSK-PRJ-015-013,PRJ-015,e4e5b5b0,Story art writer,Administration join allow mean sometimes so.,EMP-0064,2027-03-22,2027-03-31,Not Started,Medium,24
TSK-PRJ-015-014,PRJ-015,c3f38c8c,Off life practice,Sell short issue everybody later.,EMP-0204,2026-03-08,2026-04-26,Review,High,24
TSK-PRJ-015-015,PRJ-015,fee543b3,Threat husband family perhaps hope,Different interview else.,EMP-0148,2025-07-08,2025-07-10,Completed,Low,80
TSK-PRJ-015-016,PRJ-015,7168bdec,Check significant deal consider ago own,Single music west.,EMP-0217,2026-11-11,2026-12-15,Not Started,Medium,24
TSK-PRJ-015-017,PRJ-015,e12ff6cd,Agree there want but way,Know season science.,EMP-0103,2025-12-08,2025-12-29,Completed,Low,8
TSK-PRJ-015-018,PRJ-015,51476e86,Right business series build major painting,Indeed decision before medical long meet.,EMP-0073,2025-08-14,2025-10-02,Completed,Low,8
TSK-PRJ-015-019,PRJ-015,fee543b3,Director red practice special,Campaign choose reason. Article sort term.,EMP-0192,2025-04-09,2025-05-21,Completed,High,24
TSK-PRJ-015-020,PRJ-015,51476e86,Half understand skill air,Fill personal training enter fly.,EMP-0104,2025-08-09,2025-10-20,Completed,High,4
TSK-PRJ-015-021,PRJ-015,fee543b3,Much several reveal,Citizen address today begin.,EMP-0132,2025-04-25,2025-06-03,Completed,Low,4
TSK-PRJ-015-022,PRJ-015,69fe890f,Speak a live tonight either follow,Half party respond local see system cultural.,EMP-0001,2026-08-15,2026-08-18,Review,High,40
TSK-PRJ-016-001,PRJ-016,69bd40d8,Thought black difficult continue,Forget wind property mind officer.,EMP-0124,2027-07-25,2027-08-03,Review,Medium,40
TSK-PRJ-016-002,PRJ-016,08403234,Place some woman add play,Class follow occur low gas.,EMP-0132,2026-04-26,2026-09-18,Not Started,High,80
TSK-PRJ-016-003,PRJ-016,69bd40d8,Front throughout effort southern maintain,Lead benefit task shake enjoy site interview.,EMP-0078,2027-07-13,2027-08-06,In Progress,Low,8
TSK-PRJ-016-004,PRJ-016,233408ba,Nearly fast their,Laugh network vote whom will.,EMP-0020,2026-02-06,2026-02-16,In Progress,Low,16
TSK-PRJ-016-005,PRJ-016,03d7f962,Cup seat moment,None most another mouth.,EMP-0163,2027-02-07,2027-02-17,Review,Medium,8
TSK-PRJ-016-006,PRJ-016,46178161,Must western interest,Everything where we fast too.,EMP-0198,2024-06-04,2024-06-14,Completed,Low,8
TSK-PRJ-016-007,PRJ-016,03d7f962,Type party where arrive,Cell lose civil will with within.,EMP-0077,2027-01-13,2027-02-12,Review,Medium,4
TSK-PRJ-016-008,PRJ-016,aff7ff5d,But science want charge kitchen,Set action bring find bill.,EMP-0051,2025-02-14,2025-03-13,Completed,Medium,16
TSK-PRJ-016-009,PRJ-016,233408ba,We American study eight,Where ten drop sure manager reduce it arm.,EMP-0028,2026-04-05,2026-04-13,In Progress,Medium,80
TSK-PRJ-016-010,PRJ-016,08403234,Information student work bar big,Parent not parent that property among blue.,EMP-0084,2026-06-07,2026-09-13,Not Started,Medium,80
TSK-PRJ-016-011,PRJ-016,233408ba,Spring responsibility always positive key,Of mission vote spend physical sing protect.,EMP-0203,2026-03-20,2026-04-18,Blocked,Low,8
TSK-PRJ-016-012,PRJ-016,233408ba,Turn soon rock support,Grow raise good whole everybody.,EMP-0108,2026-01-12,2026-01-31,In Progress,Medium,16
TSK-PRJ-016-013,PRJ-016,233408ba,Decide side natural focus,Send sit common matter become goal.,EMP-0015,2026-04-08,2026-04-17,Review,High,16
TSK-PRJ-016-014,PRJ-016,233408ba,Series dark task magazine,South time senior where follow born.,EMP-0119,2026-01-09,2026-04-15,In Progress,Low,24
TSK-PRJ-016-015,PRJ-016,08403234,Trip production system certainly future government,Tv billion what sport.,EMP-0097,2026-05-08,2026-05-25,Blocked,High,8
TSK-PRJ-016-016,PRJ-016,9ace63cc,Property event manager,Early difficult possible democratic actually.,EMP-0197,2025-07-19,2025-11-02,Completed,Low,4
TSK-PRJ-016-017,PRJ-016,9ace63cc,Control million hundred offer total,Section religious word sound enjoy have.,EMP-0137,2025-09-20,2025-10-08,Completed,Low,40
TSK-PRJ-016-018,PRJ-016,9caad37c,Often benefit true world remain movement,Southern page result response.,EMP-0003,2024-11-28,2024-12-09,Completed,Low,16
TSK-PRJ-016-019,PRJ-016,aff7ff5d,Nice next arm,Live relationship as great western everybody.,EMP-0231,2025-01-04,2025-02-06,Completed,Low,24
TSK-PRJ-016-020,PRJ-016,9caad37c,Product finally recent fight,Now then watch certain much.,EMP-0208,2024-08-09,2024-10-24,Completed,High,40
TSK-PRJ-017-001,PRJ-017,4df742ae,Run eat own serve,Structure ahead up rock.,EMP-0049,2024-09-05,2024-09-10,Completed,High,40
TSK-PRJ-017-002,PRJ-017,9c8b9550,Consumer find concern involve edge,Continue husband dinner worry.,EMP-0082,2024-04-24,2024-04-25,Completed,Medium,24
TSK-PRJ-017-003,PRJ-017,9c8b9550,Arrive health collection white more above,Fill son nothing hear attorney common.,EMP-0182,2024-04-30,2024-04-30,Completed,Low,80
TSK-PRJ-017-004,PRJ-017,ddfc2a92,Medical sport knowledge performance,Million too marriage page young turn visit up.,EMP-0172,2024-02-16,2024-02-24,Completed,Low,24
TSK-PRJ-017-005,PRJ-017,feef21f8,Among around word lose such,Poor executive career shake fall phone identify.,EMP-0235,2024-06-29,2024-07-01,Completed,High,40
TSK-PRJ-017-006,PRJ-017,9c8b9550,Month among water,Throughout security number community finish.,EMP-0210,2024-04-14,2024-05-02,Completed,Low,4
TSK-PRJ-017-007,PRJ-017,67a55936,Appear stay them school model condition,Race and Democrat lead control develop.,EMP-0205,2024-03-08,2024-03-16,Completed,High,80
TSK-PRJ-017-008,PRJ-017,8420e0d8,Under above drive,Worker would step head study and.,EMP-0111,2024-07-19,2024-08-09,Completed,High,24
TSK-PRJ-017-009,PRJ-017,fcfd8547,Finally wait president trial important act statement,Everything too stage major outside phone.,EMP-0135,2024-01-20,2024-01-24,Completed,High,40
TSK-PRJ-017-010,PRJ-017,9c8b9550,Contain force want,Western resource reason expect expert.,EMP-0091,2024-04-08,2024-05-01,Completed,Low,24
TSK-PRJ-017-011,PRJ-017,67a55936,Yet light body director strategy continue,Drop past just central.,EMP-0194,2024-03-08,2024-03-11,Completed,Low,80
TSK-PRJ-017-012,PRJ-017,ddfc2a92,Two glass customer popular,Herself water measure different physical from.,EMP-0003,2024-02-02,2024-02-18,Completed,Low,80
TSK-PRJ-017-013,PRJ-017,fcfd8547,Born assume million,Peace college usually.,EMP-0232,2024-01-19,2024-01-22,Completed,Low,4
TSK-PRJ-017-014,PRJ-017,9c8b9550,Tax several along,Travel down make economic woman PM look.,EMP-0193,2024-04-19,2024-05-02,Completed,High,80
TSK-PRJ-017-015,PRJ-017,feef21f8,Think happy again south,Amount improve they surface.,EMP-0206,2024-06-14,2024-07-02,Completed,Medium,8
TSK-PRJ-017-016,PRJ-017,ddfc2a92,Less full program card morning,Describe course create them process.,EMP-0139,2024-02-16,2024-02-21,Completed,Medium,16
TSK-PRJ-017-017,PRJ-017,4df742ae,Toward what thank include,Describe necessary church his military.,EMP-0209,2024-09-06,2024-09-11,Completed,Low,40
TSK-PRJ-017-018,PRJ-017,c9739495,Shoulder political offer song character first,Test candidate use first usually.,EMP-0111,2024-05-12,2024-05-25,Completed,Medium,8
TSK-PRJ-017-019,PRJ-017,9c8b9550,Use ground season when film,Guy training on stock.,EMP-0111,2024-04-17,2024-04-19,Completed,High,24
TSK-PRJ-017-020,PRJ-017,feef21f8,Important no pick record example summer,Wish professional chair knowledge sense.,EMP-0086,2024-06-11,2024-07-06,Completed,Medium,8
TSK-PRJ-017-021,PRJ-017,ddfc2a92,Us once consider thus wife,Gas fund be have concern perhaps quality.,EMP-0185,2024-02-23,2024-02-27,Completed,Medium,8
TSK-PRJ-017-022,PRJ-017,8420e0d8,Represent we bar owner,Toward age five cold power red enjoy.,EMP-0229,2024-08-08,2024-08-08,Completed,Low,8
TSK-PRJ-018-001,PRJ-018,b8ff615c,Action off few current like home,Recent friend sort table six.,EMP-0237,2023-07-06,2023-07-31,Completed,Low,4
TSK-PRJ-018-002,PRJ-018,730bc657,South tree technology,Age campaign seven drug.,EMP-0123,2025-05-06,2025-08-01,Completed,Medium,40
TSK-PRJ-018-003,PRJ-018,b66f3507,Say game training,Choose personal the leave.,EMP-0079,2024-06-08,2024-06-09,Completed,High,40
TSK-PRJ-018-004,PRJ-018,22a37556,Responsibility before item,Decision response hit personal cover.,EMP-0070,2023-12-27,2024-02-01,Completed,Low,8
TSK-PRJ-018-005,PRJ-018,82fc9294,Continue according compare culture century,Offer country buy seven could support series.,EMP-0224,2026-01-24,2026-01-29,Blocked,Low,24
TSK-PRJ-018-006,PRJ-018,b8ff615c,Economy general drive according three,Example claim article management total.,EMP-0144,2023-08-24,2023-10-05,Completed,Medium,80
TSK-PRJ-018-007,PRJ-018,b66f3507,With purpose five,Recently painting where notice road five.,EMP-0087,2024-10-11,2024-11-01,Completed,Medium,24
TSK-PRJ-018-008,PRJ-018,b8ff615c,Color real important they food someone,Less tonight laugh center seek information.,EMP-0065,2023-08-05,2023-09-18,Completed,Medium,80
TSK-PRJ-018-009,PRJ-018,0df6c527,Hand its stage town character,Describe administration line even.,EMP-0036,2023-05-18,2023-05-25,Completed,Low,24
TSK-PRJ-018-010,PRJ-018,e83bcc84,Parent material itself surface maintain program,Which at follow live eye dog.,EMP-0082,2024-12-20,2025-01-25,Completed,High,40
TSK-PRJ-018-011,PRJ-018,82fc9294,Out morning game,Southern ten hard wife as language.,EMP-0060,2025-12-24,2026-02-21,Not Started,Low,8
TSK-PRJ-018-012,PRJ-018,730bc657,Future soldier recognize top whole sit,Wife director or down standard major like.,EMP-0181,2025-07-21,2025-08-17,Completed,Low,24
TSK-PRJ-018-013,PRJ-018,82fc9294,Ball make owner through when,At hope cover show Republican.,EMP-0181,2025-10-30,2026-02-28,Blocked,High,4
TSK-PRJ-018-014,PRJ-018,e83bcc84,Situation what machine,Painting movie station position whatever our.,EMP-0064,2025-02-07,2025-04-02,Completed,High,40
TSK-PRJ-018-015,PRJ-018,22a37556,So institution stand action,Daughter fast agreement popular instead.,EMP-0062,2024-03-18,2024-04-14,Completed,High,4
TSK-PRJ-018-016,PRJ-018,0df6c527,View lay cup,Law clear campaign what buy test need hard.,EMP-0145,2023-06-12,2023-06-19,Completed,Low,4
TSK-PRJ-018-017,PRJ-018,e83bcc84,Poor food series,Third argue response. Market until cause bill.,EMP-0152,2025-03-05,2025-04-14,Completed,High,80
TSK-PRJ-018-018,PRJ-018,e83bcc84,Gas attorney hundred artist indicate,Reason nature become debate city several.,EMP-0156,2025-01-10,2025-01-25,Completed,High,24
TSK-PRJ-019-001,PRJ-019,c4acb57d,Amount despite discussion check that may,Hold plant how member face age.,EMP-0119,2026-01-18,2026-01-28,Not Started,High,4
TSK-PRJ-019-002,PRJ-019,c4acb57d,Think meeting stock however charge account,Season example news memory civil cut parent free.,EMP-0209,2026-01-19,2026-01-22,Completed,High,8
TSK-PRJ-019-003,PRJ-019,2dca365a,Daughter both hold blood value,Customer now section strategy purpose.,EMP-0130,2026-11-03,2026-11-27,Not Started,High,80
TSK-PRJ-019-004,PRJ-019,90c40e45,Stop team deal water,Result leader hospital send TV lose.,EMP-0147,2026-03-19,2026-03-20,Blocked,Low,8
